@relation f
@attribute f1 numeric
@attribute classes {1.0 2.0 3.0}
@data
87.0,1.0
10.5,1.0
243.0,1.0
165.0,1.0
87.0,1.0
9.0,2.0
-69.0,3.0
170.25,1.0
91.5,1.0
12.75,2.0
-66.0,3.0
-144.75,3.0
97.799999999999997,1.0
18.600000000000001,1.0
-60.600000000000001,3.0
-139.80000000000001,3.0
-219.0,3.0
471.0,1.0
399.0,1.0
327.0,1.0
255.0,1.0
183.0,1.0
394.5,1.0
318.0,1.0
241.5,1.0
165.0,1.0
88.5,1.0
321.0,1.0
243.0,1.0
165.0,1.0
87.0,1.0
9.0,2.0
248.25,1.0
169.5,1.0
90.75,1.0
12.0,3.0
-66.75,3.0
175.80000000000001,1.0
96.599999999999994,1.0
17.399999999999999,2.0
-61.799999999999997,3.0
-141.0,3.0
231.75,1.0
159.75,1.0
87.75,1.0
15.75,2.0
-56.25,3.0
155.25,1.0
78.75,2.0
2.25,3.0
-74.25,3.0
-150.75,3.0
81.75,1.0
3.75,3.0
-74.25,3.0
-152.25,3.0
-230.25,3.0
9.0,2.0
-69.75,3.0
-148.5,3.0
-227.25,3.0
-306.0,3.0
-63.450000000000003,3.0
-142.65000000000001,3.0
-221.84999999999999,3.0
-301.05000000000001,3.0
-380.25,3.0
310.5,1.0
238.5,1.0
166.5,1.0
94.5,1.0
22.5,1.0
234.0,1.0
157.5,1.0
81.0,1.0
4.5,2.0
-72.0,3.0
160.5,1.0
82.5,1.0
4.5,3.0
-73.5,3.0
-151.5,3.0
87.75,1.0
9.0,2.0
-69.75,3.0
-148.5,3.0
-227.25,3.0
15.300000000000001,1.0
-63.899999999999999,3.0
-143.09999999999999,3.0
-222.30000000000001,3.0
-301.5,3.0
389.25,1.0
317.25,1.0
245.25,1.0
173.25,1.0
101.25,1.0
312.75,1.0
236.25,1.0
159.75,1.0
83.25,1.0
6.75,1.0
239.25,1.0
161.25,1.0
83.25,1.0
5.25,2.0
-72.75,3.0
166.5,1.0
87.75,1.0
9.0,2.0
-69.75,3.0
-148.5,3.0
94.049999999999997,1.0
14.85,1.0
-64.349999999999994,3.0
-143.55000000000001,3.0
-222.75,3.0
468.0,1.0
396.0,1.0
324.0,1.0
252.0,1.0
180.0,1.0
391.5,1.0
315.0,1.0
238.5,1.0
162.0,1.0
85.5,1.0
318.0,1.0
240.0,1.0
162.0,1.0
84.0,1.0
6.0,1.0
245.25,1.0
166.5,1.0
87.75,1.0
9.0,2.0
-69.75,3.0
172.80000000000001,1.0
93.599999999999994,1.0
14.4,1.0
-64.799999999999997,3.0
-144.0,3.0
546.75,1.0
474.75,1.0
402.75,1.0
330.75,1.0
258.75,1.0
470.25,1.0
393.75,1.0
317.25,1.0
240.75,1.0
164.25,1.0
396.75,1.0
318.75,1.0
240.75,1.0
162.75,1.0
84.75,1.0
324.0,1.0
245.25,1.0
166.5,1.0
87.75,1.0
9.0,2.0
251.55000000000001,1.0
172.34999999999999,1.0
93.150000000000006,1.0
13.949999999999999,2.0
-65.25,3.0
304.19999999999999,1.0
232.19999999999999,1.0
160.19999999999999,1.0
88.200000000000003,1.0
16.199999999999999,2.0
227.69999999999999,1.0
151.19999999999999,1.0
74.700000000000003,3.0
-1.8,3.0
-78.299999999999997,3.0
154.19999999999999,1.0
76.200000000000003,3.0
-1.8,3.0
-79.799999999999997,3.0
-157.80000000000001,3.0
81.450000000000003,1.0
2.7000000000000002,3.0
-76.049999999999997,3.0
-154.80000000000001,3.0
-233.55000000000001,3.0
9.0,2.0
-70.200000000000003,3.0
-149.40000000000001,3.0
-228.59999999999999,3.0
-307.80000000000001,3.0
383.39999999999998,1.0
311.39999999999998,1.0
239.40000000000001,1.0
167.40000000000001,1.0
95.400000000000006,1.0
306.89999999999998,1.0
230.40000000000001,1.0
153.90000000000001,1.0
77.400000000000006,1.0
0.90000000000000002,2.0
233.40000000000001,1.0
155.40000000000001,1.0
77.400000000000006,1.0
-0.59999999999999998,3.0
-78.599999999999994,3.0
160.65000000000001,1.0
81.900000000000006,1.0
3.1499999999999999,3.0
-75.599999999999994,3.0
-154.34999999999999,3.0
88.200000000000003,1.0
9.0,2.0
-70.200000000000003,3.0
-149.40000000000001,3.0
-228.59999999999999,3.0
462.60000000000002,1.0
390.60000000000002,1.0
318.60000000000002,1.0
246.59999999999999,1.0
174.59999999999999,1.0
386.10000000000002,1.0
309.60000000000002,1.0
233.09999999999999,1.0
156.59999999999999,1.0
80.099999999999994,1.0
312.60000000000002,1.0
234.59999999999999,1.0
156.59999999999999,1.0
78.599999999999994,1.0
0.59999999999999998,2.0
239.84999999999999,1.0
161.09999999999999,1.0
82.349999999999994,1.0
3.6000000000000001,3.0
-75.150000000000006,3.0
167.40000000000001,1.0
88.200000000000003,1.0
9.0,2.0
-70.200000000000003,3.0
-149.40000000000001,3.0
541.79999999999995,1.0
469.80000000000001,1.0
397.80000000000001,1.0
325.80000000000001,1.0
253.80000000000001,1.0
465.30000000000001,1.0
388.80000000000001,1.0
312.30000000000001,1.0
235.80000000000001,1.0
159.30000000000001,1.0
391.80000000000001,1.0
313.80000000000001,1.0
235.80000000000001,1.0
157.80000000000001,1.0
79.799999999999997,1.0
319.05000000000001,1.0
240.30000000000001,1.0
161.55000000000001,1.0
82.799999999999997,1.0
4.0499999999999998,2.0
246.59999999999999,1.0
167.40000000000001,1.0
88.200000000000003,1.0
9.0,2.0
-70.200000000000003,3.0
621.0,1.0
549.0,1.0
477.0,1.0
405.0,1.0
333.0,1.0
544.5,1.0
468.0,1.0
391.5,1.0
315.0,1.0
238.5,1.0
471.0,1.0
393.0,1.0
315.0,1.0
237.0,1.0
159.0,1.0
398.25,1.0
319.5,1.0
240.75,1.0
162.0,1.0
83.25,1.0
325.80000000000001,1.0
246.59999999999999,1.0
167.40000000000001,1.0
88.200000000000003,1.0
9.0,2.0
